Miejscowosc|Miesiac|Dzien|Wschod|Zachod
GLIWICE|01|01|07:46|15:53
GLIWICE|01|02|07:46|15:54
GLIWICE|01|03|07:46|15:55
GLIWICE|01|04|07:45|15:57
GLIWICE|01|05|07:45|15:58
GLIWICE|01|06|07:44|15:59
GLIWICE|01|07|07:44|16:01
GLIWICE|01|08|07:43|16:02
GLIWICE|01|09|07:43|16:04
GLIWICE|01|10|07:42|16:05
GLIWICE|01|11|07:41|16:07
GLIWICE|01|12|07:40|16:08
GLIWICE|01|13|07:39|16:10
GLIWICE|01|14|07:39|16:11
GLIWICE|01|15|07:38|16:13
GLIWICE|01|16|07:37|16:14
GLIWICE|01|17|07:36|16:16
GLIWICE|01|18|07:35|16:18
GLIWICE|01|19|07:34|16:19
GLIWICE|01|20|07:32|16:21
GLIWICE|01|21|07:31|16:23
GLIWICE|01|22|07:30|16:25
GLIWICE|01|23|07:29|16:26
GLIWICE|01|24|07:28|16:28
GLIWICE|01|25|07:26|16:30
GLIWICE|01|26|07:25|16:32
GLIWICE|01|27|07:24|16:33
GLIWICE|01|28|07:22|16:35
GLIWICE|01|29|07:21|16:37
GLIWICE|01|30|07:19|16:38
GLIWICE|01|31|07:18|16:40
GLIWICE|02|01|07:16|16:42
GLIWICE|02|02|07:15|16:44
GLIWICE|02|03|07:13|16:45
GLIWICE|02|04|07:12|16:47
GLIWICE|02|05|07:10|16:49
GLIWICE|02|06|07:08|16:51
GLIWICE|02|07|07:07|16:52
GLIWICE|02|08|07:05|16:54
GLIWICE|02|09|07:03|16:56
GLIWICE|02|10|07:01|16:58
GLIWICE|02|11|07:00|17:00
GLIWICE|02|12|06:58|17:01
GLIWICE|02|13|06:56|17:03
GLIWICE|02|14|06:54|17:05
GLIWICE|02|15|06:52|17:07
GLIWICE|02|16|06:50|17:08
GLIWICE|02|17|06:48|17:10
GLIWICE|02|18|06:46|17:12
GLIWICE|02|19|06:44|17:14
GLIWICE|02|20|06:42|17:15
GLIWICE|02|21|06:40|17:17
GLIWICE|02|22|06:38|17:19
GLIWICE|02|23|06:36|17:21
GLIWICE|02|24|06:34|17:22
GLIWICE|02|25|06:32|17:24
GLIWICE|02|26|06:30|17:26
GLIWICE|02|27|06:28|17:28
GLIWICE|02|28|06:26|17:29
